LanguageHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith,MiscTechHaveWorkedWith,DevType,cluster
Bash/Shell (all shells);C#;JavaScript;SQL;TypeScript,Angular;ASP.NET CORE;Node.js,npm;NuGet;Terraform;Webpack,.NET (5+) ,Back-End Developer,3
HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Node.js;Ruby on Rails;Vue.js,Ansible;npm;Pip;Vite;Webpack;Yarn,,Research & Development Role,6
C;C++,,CMake;Make;MSVC;QMake,Qt,Back-End Developer,3
C#;Lua;PowerShell;SQL,ASP.NET CORE,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Opencv;RabbitMQ,Back-End Developer,0
Bash/Shell (all shells);Groovy;HTML/CSS;Perl;PHP;Python;SQL;TypeScript,Angular;FastAPI;Flask,APT;Docker;Kubernetes;Make;Pip,NumPy;Opencv,Research & Development Role,6
C#;Rust;SQL,ASP.NET,Cargo;Docker;Kubernetes;NuGet;Pacman,.NET (5+) ;RabbitMQ,Full-Stack Developer,3
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Django,Docker;Make;Pip,,Back-End Developer,3
Java;Kotlin;Swift,,Homebrew;LLVM's Clang;Maven (build tool);Pip,SwiftUI,Mobile Developer,4
Assembly;Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Angular;Express;Node.js;Nuxt.js;React;Vue.js,Chocolatey;npm;Vite;Webpack,Electron;RabbitMQ,Full-Stack Developer,3
C#;JavaScript;TypeScript,ASP.NET CORE;Express;Fastify;Next.js;Node.js;Vue.js,,,Full-Stack Developer,3
SQL;VBA,,,.NET Framework (1.0 - 4.8),Data Or Business Analyst,0
Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;SQL;TypeScript;VBA,React;Spring Boot;WordPress,Ant;CMake;GNU GCC;Gradle;Kubernetes;Make;Maven (build tool);npm,Apache Kafka;RabbitMQ;React Native,Full-Stack Developer,3
Bash/Shell (all shells);C;C#;C++;PowerShell;Python,,CMake;Google Test;LLVM's Clang;MSBuild;MSVC;Unreal Engine;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);CUDA;OpenGL;Qt;RabbitMQ;Xamarin,Game Or Graphics Developer,0
Java,Spring Boot,Maven (build tool),Apache Kafka;Apache Spark;Hadoop,Back-End Developer,5
HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Angular;AngularJS;Spring Boot,Docker;Homebrew;Kubernetes;Maven (build tool);Podman;Unreal Engine,Apache Kafka;Spring Framework,Full-Stack Developer,5
Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,Angular;Laravel;Node.js;React;Vue.js;WordPress,Composer;Make;Maven (build tool);npm;Vite;Webpack,Electron;Spring Framework,Full-Stack Developer,3
C++;HTML/CSS;JavaScript;PHP,Laravel;React;WordPress,Composer;Docker;Pip,,Full-Stack Developer,3
C#;Python,ASP.NET CORE;Blazor,Docker;MSBuild;Pip,.NET (5+) ,Back-End Developer,3
Bash/Shell (all shells);C;Perl;Python,,LLVM's Clang;MSVC,,Back-End Developer,3
C;C#;HTML/CSS;JavaScript;Rust;TypeScript,Next.js;Node.js;React,Cargo;Docker;Godot;npm;Vite,Flutter;React Native,Front-End Developer,2
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Express;Node.js;React,Cargo;Docker;Gradle;Homebrew;Kubernetes;npm;Pip;Terraform;Webpack,React Native,Full-Stack Developer,3
C;JavaScript;MATLAB;Python,Express;Node.js;React,GNU GCC;Make;npm,,Embedded Applications Or Devices Developer,1
Dart;Go;HTML/CSS;JavaScript;SQL;TypeScript,Angular;React,Kubernetes;Make;npm;Webpack,Flutter,Full-Stack Developer,3
Bash/Shell (all shells);Java,,Docker;Kubernetes;Maven (build tool),Spring Framework,Back-End Developer,5
HTML/CSS;Java;JavaScript;TypeScript,Express;Node.js;Nuxt.js;Vue.js,Maven (build tool);npm;Vite;Webpack,,Full-Stack Developer,3
Python;SQL,,Terraform,NumPy;Pandas;TensorFlow;Torch/PyTorch,Data Engineer,6
C++,,CMake;Docker;LLVM's Clang;Ninja,,Back-End Developer,3
Bash/Shell (all shells);JavaScript;PowerShell;Python;SQL;TypeScript,Node.js,npm,,Qa Or Test Developer,3
C#;Dart;GDScript;Python;TypeScript,Django;React,Godot;Gradle;npm;Unity 3D;Unreal Engine;Visual Studio Solution;Vite;Yarn,Flutter;React Native,Game Or Graphics Developer,3
Bash/Shell (all shells);C;C++;Perl;SQL,,GNU GCC;Make,,Back-End Developer,3
Objective-C;Swift,,,,Mobile Developer,4
Assembly;Bash/Shell (all shells);C;C++;Java;Python,,CMake;Docker;Gradle;Homebrew;LLVM's Clang;Maven (build tool);npm,NumPy;Pandas,Back-End Developer,3
Java;JavaScript;SQL;TypeScript,Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js,Docker;Gradle;Homebrew;Maven (build tool);Podman;Vite;Webpack,Spring Framework,Back-End Developer,5
Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Next.js;Node.js;React,Homebrew;npm;pnpm;Webpack;Yarn,,Front-End Developer,2
C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Express;NestJS;Next.js;Node.js;React;Vue.js,APT;Docker;npm;Pip;pnpm;Yarn,RabbitMQ,Full-Stack Developer,3
Bash/Shell (all shells);Dart;Groovy;Java;Objective-C;Python;Ruby;Swift,,Gradle;Homebrew;Maven (build tool);npm;Pip;Unity 3D;Visual Studio Solution,,Mobile Developer,4
C#;HTML/CSS;JavaScript;SQL,ASP.NET;ASP.NET CORE;jQuery,NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C;C++;Python,,Catch2;CMake;LLVM's Clang;Make;Ninja;Pip,CUDA;NumPy;Pandas;Torch/PyTorch,Scientist,6
Bash/Shell (all shells);Java;JavaScript;Python;SQL,React;Spring Boot,Ansible;Docker;Kubernetes;Maven (build tool);Terraform,Apache Kafka;Apache Spark;Hadoop;Spring Framework,Back-End Developer,5
C;C++;HTML/CSS;JavaScript,Express;Next.js;Node.js;React,Vite;Yarn,,Full-Stack Developer,3
HTML/CSS;JavaScript,Laravel;React;Vue.js,Composer;Homebrew;npm;Vite;Webpack;Yarn,Ionic,Front-End Developer,2
Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;R;Rust;SQL;Swift;TypeScript,Angular;Express;Laravel;NestJS;Next.js;Node.js;React;Svelte;WordPress,APT;Cargo;CMake;Composer;Docker;GNU GCC;Gradle;Homebrew;Kubernetes;LLVM's Clang;Make;Maven (build tool);Meson;Ninja;npm;Pacman;Pip;pnpm;QMake;Terraform;Webpack;Yarn,CUDA;Electron;Hugging Face Transformers;Qt;React Native;SwiftUI;Tauri,Full-Stack Developer,3
HTML/CSS;Java;JavaScript;SQL,jQuery;Spring Boot,Gradle;Homebrew;npm,Spring Framework,Product Manager,5
Java,,Docker;Homebrew;Kubernetes;Make;Maven (build tool),Spring Framework,Back-End Developer,5
Bash/Shell (all shells);HTML/CSS;Python;SQL,Flask;Vue.js,Docker;Make;Pip,Apache Spark;NumPy;Pandas;Scikit-Learn,Data Scientist Or Machine Learning Specialist,6
Java,Spring Boot,Maven (build tool),Spring Framework,Full-Stack Developer,5
HTML/CSS;JavaScript;Python,Django,Ansible,,Full-Stack Developer,3
Delphi,,,,Desktop Or Enterprise Applications Developer,1
C;JavaScript;Python;Ruby;Rust;Scala;SQL;TypeScript,Angular;AngularJS;Django;Drupal;Express;FastAPI;Flask;jQuery;Node.js;React;Ruby on Rails;Vue.js;WordPress,Ansible;Docker;Homebrew;Make;npm;Puppet;Terraform;Vite;Webpack;Yarn,Apache Spark;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow,Full-Stack Developer,3
Dart;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Django;Express;Node.js;React,Gradle;Maven (build tool);npm;Pip,Flutter,Full-Stack Developer,3
Python,Django,Docker,,Back-End Developer,3
Bash/Shell (all shells);Python;SQL,Flask,Docker;GNU GCC;npm;Pip,Apache Spark,Back-End Developer,3
C;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Express;jQuery;Next.js;Node.js;React;Remix,Docker;Gradle;npm,,Full-Stack Developer,3
JavaScript;Python,FastAPI;Flask;React,Cargo;Docker;Homebrew;Make;npm;Pip;Yarn,NumPy;Pandas,Back-End Developer,3
Bash/Shell (all shells);C#;Java;PowerShell;Python;Visual Basic (.Net),ASP.NET;Spring Boot,Ansible;Maven (build tool);npm;Pip;Visual Studio Solution,.NET (5+) ;Apache Kafka;Apache Spark;Spring Framework,Devops Specialist,0
C#;PowerShell;SQL,,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,0
C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,ASP.NET;ASP.NET CORE;NestJS,NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL,Spring Boot,Gradle,,Full-Stack Developer,5
C#;Java;JavaScript;R;SQL,ASP.NET CORE,Docker;MSBuild,.NET (5+) ;RabbitMQ,Back-End Developer,3
Python,,,NumPy;Pandas,Research & Development Role,6
Assembly;Bash/Shell (all shells);C;C#;C++;Python,Django,CMake;Make;Ninja;Pip;Unity 3D,CUDA;Keras;NumPy;Opencv;OpenGL;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Data Scientist Or Machine Learning Specialist,6
C#;HTML/CSS;JavaScript;PHP;Ruby;SQL,Blazor;jQuery;Laravel;Node.js;React;Ruby on Rails,Composer;Docker;Webpack;Yarn,React Native,Full-Stack Developer,3
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Drupal;Express;jQuery;NestJS;Node.js;React;Vue.js,Docker;Kubernetes;npm;Pip;Terraform;Webpack;Yarn,RabbitMQ,Full-Stack Developer,3
C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript;Visual Basic (.Net),Django;Next.js;React;Spring Boot,Docker;Maven (build tool);MSBuild;npm;NuGet;Pacman;Pip;pnpm;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);NumPy;Pandas;Spring Framework,Full-Stack Developer,0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net),Angular;ASP.NET;ASP.NET CORE;jQuery;Node.js;Vue.js,MSBuild;NuGet;Pip;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C++;Groovy;HTML/CSS;JavaScript;Lua;PHP;Python;SQL,Angular;AngularJS;React;Spring Boot;WordPress,Docker;Gradle;Kubernetes;Maven (build tool);npm,Apache Kafka;RabbitMQ;TensorFlow,Full-Stack Developer,3
Go,,Docker;Terraform,,Back-End Developer,3
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,,APT;Docker,,Database Administrator,3
Bash/Shell (all shells);JavaScript;TypeScript,NestJS;Node.js;React,Docker;Kubernetes;npm;Terraform,,Devops Specialist,6
Java;JavaScript;PowerShell;SQL;TypeScript,Angular;AngularJS;Node.js;Spring Boot,Maven (build tool);npm;NuGet,Spring Framework,Full-Stack Developer,5
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,ASP.NET;ASP.NET CORE;WordPress,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,Full-Stack Developer,0
C++;Go;Java;Python;SQL,,Ansible;Docker;GNU GCC;Google Test;Maven (build tool);Pip;Terraform,NumPy,Security Professional,3
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,ASP.NET;ASP.NET CORE;jQuery;Node.js,CMake;Docker;Make;npm;NuGet;Visual Studio Solution,.NET (5+) ,Full-Stack Developer,0
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,Express;Node.js;React,npm;Unity 3D,React Native,"Senior Executive (C-Suite, Vp, Etc.)",6
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Solidity;SQL;TypeScript,Express;Fastify;Gatsby;Node.js;React,Docker;Homebrew;npm;pnpm;Yarn,NumPy;Pandas;Scikit-Learn,Developer Experience,3
C#;JavaScript;PowerShell;TypeScript,ASP.NET CORE;Node.js,Docker;MSBuild;npm;NuGet;Visual Studio Solution;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,0
Elixir;Java;JavaScript;PHP,jQuery,Docker;Homebrew;Maven (build tool),,Full-Stack Developer,5
Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,Django;Express;Flask,Cargo;Docker;Kubernetes;Make;npm;Terraform;Webpack,Apache Spark,Back-End Developer,3
C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,React;Spring Boot,Maven (build tool);MSBuild;npm;NuGet;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8);Spring Framework,Full-Stack Developer,0
Bash/Shell (all shells);C#;C++;Java;MATLAB;PowerShell;R;SQL;VBA,,Unity 3D;Unreal Engine;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Assembly;Bash/Shell (all shells);C;C++;Lua;PowerShell;Python;Rust,,APT;Cargo;Homebrew;Make;MSBuild;MSVC;NuGet,.NET Framework (1.0 - 4.8),Embedded Applications Or Devices Developer,1
Java;Kotlin,,Gradle,,Mobile Developer,4
APL;Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;R;Ruby;SQL,Angular;AngularJS;jQuery;Node.js;React;WordPress,,,Front-End Developer,2
Java;Kotlin,,Dagger,,Mobile Developer,4
C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Angular;AngularJS;ASP.NET CORE;Node.js,Docker;Kubernetes;Maven (build tool);MSBuild;npm;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Full-Stack Developer,0
,,,,Back-End Developer,3
HTML/CSS;JavaScript;PHP;SQL,CodeIgniter;jQuery,,,Designer,3
Java;PowerShell;Python;R;SQL;Visual Basic (.Net),Flask,Docker;Kubernetes;Pip;Terraform,Pandas,Data Engineer,6
HTML/CSS;PowerShell;Python;SQL,Django;WordPress,,,Cloud Infrastructure Engineer,6
Bash/Shell (all shells);C#;Crystal;HTML/CSS;JavaScript;PHP;PowerShell;Solidity;SQL;Visual Basic (.Net),ASP.NET;ASP.NET CORE;Blazor;jQuery,Unity 3D;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Torch/PyTorch,Full-Stack Developer,0
Go;Java;Python;SQL,Spring Boot,Maven (build tool),Apache Spark;Spring Framework,Back-End Developer,5
Go;PowerShell;Python;SQL,ASP.NET;ASP.NET CORE;Blazor;Node.js;React,MSBuild;npm;NuGet,.NET (5+) ,Cloud Infrastructure Engineer,6
Go;Java;JavaScript;PHP;Python;SQL;Swift,Node.js;React;Remix;Spring Boot,Docker;Homebrew;Maven (build tool);npm;Pip,Spring Framework,Desktop Or Enterprise Applications Developer,1
JavaScript;TypeScript,Express;React,npm,React Native,Mobile Developer,4
R,,,,Scientist,6
C#;HTML/CSS;PowerShell;SQL,ASP.NET;ASP.NET CORE;Blazor,Docker;MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Express;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js,npm;Vite;Yarn,Electron,Full-Stack Developer,3
C#;Python;Rust;SQL;Visual Basic (.Net),ASP.NET CORE;Vue.js,Cargo;npm;NuGet;Visual Studio Solution;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,0
C#;JavaScript,ASP.NET CORE;Vue.js,Docker;NuGet;Vite,.NET (5+) ;RabbitMQ,Full-Stack Developer,3
Bash/Shell (all shells);Go;Groovy;Java;Python;SQL,,Docker;Gradle;Homebrew;Kubernetes;Pip,Apache Kafka;NumPy;Quarkus;Torch/PyTorch,Back-End Developer,3
Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PowerShell,Express;Node.js;Vue.js,npm;Yarn,,Full-Stack Developer,3
C#;JavaScript;SQL;TypeScript,ASP.NET CORE,MSBuild;NuGet;Terraform,.NET (5+) ,Research & Development Role,6
Bash/Shell (all shells);C;C#;C++;GDScript;Go;JavaScript;Rust;SQL;Zig,,Ansible;Cargo;Docker;Homebrew;Kubernetes;LLVM's Clang;Make;Ninja;npm;Pip;Terraform;Wasmer;Webpack,,Back-End Developer,3
Go;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,Express;Fastify;Next.js;Node.js;React,Composer;Docker;Kubernetes;npm;pnpm;Terraform;Vite;Webpack;Yarn,,Full-Stack Developer,3
Bash/Shell (all shells);C++;Haskell;JavaScript;Python;Rust;SQL,Django;Flask;React,Cargo;CMake;Docker;Google Test;LLVM's Clang;Pip;Podman;Webpack;Yarn,Apache Spark;CUDA;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Back-End Developer,3
C#;HTML/CSS;JavaScript;SQL,ASP.NET CORE;jQuery,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,Data Or Business Analyst,0
Bash/Shell (all shells);Python;SQL;TypeScript,Node.js,Docker;Homebrew;npm;Pip;Terraform,Apache Spark,Engineering Manager,6
C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),ASP.NET;ASP.NET CORE;jQuery;Vue.js,NuGet;Visual Studio Solution;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python,Next.js;Node.js;Nuxt.js;React;Spring Boot;Vue.js,Docker;Gradle;Homebrew;Maven (build tool);npm;Pip;Terraform,,Full-Stack Developer,3
C#;C++,,,,Back-End Developer,3
HTML/CSS;JavaScript;Python;SQL;TypeScript,Deno;NestJS;Node.js;Svelte,Docker;Vite;Yarn,TensorFlow;Torch/PyTorch,Full-Stack Developer,3
Java;JavaScript;Python;Scala;SQL,Spring Boot,Docker;Maven (build tool);Pip;Terraform,NumPy;Pandas;Scikit-Learn;Spring Framework,Back-End Developer,5
Bash/Shell (all shells);Dart;HTML/CSS;Java;Kotlin;PHP;Swift,WordPress,Dagger;Gradle;Maven (build tool),Flutter,Mobile Developer,4
Bash/Shell (all shells);C#;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL,React,Ansible;APT;Cargo;Docker;Kubernetes;Maven (build tool);Pip;Terraform;Unity 3D;Webpack,Spring Framework,Engineering Manager,5
C;C++;Dart;Kotlin;Python;SQL;Zig,,APT;Gradle;Make;Pip,Flutter;Ktor,Front-End Developer,2
Dart;JavaScript;Python,Django;Next.js;React,npm;Pip,Flutter;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow,Full-Stack Developer,3
C;C#;Go;HTML/CSS;PowerShell;Visual Basic (.Net),ASP.NET;ASP.NET CORE;Blazor,Chocolatey;Docker;Kubernetes;MSBuild,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Apache Kafka,Back-End Developer,0
C;C++;Java;Python;Ruby;SQL,,Catch2;CMake;Docker;GNU GCC;Kubernetes;Make;Pacman;Podman,,Back-End Developer,3
HTML/CSS;JavaScript;TypeScript,Angular;React,Docker;Gradle;npm;pnpm;Webpack,,Front-End Developer,2
Bash/Shell (all shells);C;C#;PowerShell;Python,,Docker;MSBuild;NuGet;Visual Studio Solution,.NET Framework (1.0 - 4.8),Project Manager,0
GDScript;Python,Django,Docker;Godot;Make;Pip,,Back-End Developer,3
C#;HTML/CSS;JavaScript;SQL;TypeScript,ASP.NET;ASP.NET CORE;Express;jQuery;NestJS;Node.js;Svelte;Vue.js,Godot;npm;Unity 3D,,Full-Stack Developer,3
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Scala,FastAPI;Node.js;React;Spring Boot,Dagger;Docker;Gradle;Homebrew;Make;Maven (build tool);npm;Pip,Electron;Flutter;Spring Framework,Back-End Developer,5
HTML/CSS;JavaScript;Python,Gatsby;Node.js;React,npm,,Front-End Developer,2
C#;JavaScript;Python;SQL;TypeScript,Angular;ASP.NET CORE,Docker;MSBuild;npm;NuGet;Pip;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,0
HTML/CSS;JavaScript;TypeScript,Express;Next.js;Node.js;React,npm;Yarn,React Native;Tauri,Front-End Developer,2
Go;Python;SQL,WordPress,Docker;Homebrew;Kubernetes;Make,Apache Kafka,Back-End Developer,3
Go;HTML/CSS;JavaScript;Kotlin;Python;TypeScript,Nuxt.js;React;Vue.js,Composer;Dagger;Docker;GNU GCC;Gradle;Homebrew;Kubernetes;Make;Terraform;Vite;Webpack;Yarn,React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,Full-Stack Developer,3
Bash/Shell (all shells);C#;Elixir;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL;TypeScript,ASP.NET CORE;Elm;jQuery;Node.js;React,Cargo;Docker;Gradle;npm;Terraform;Webpack,.NET (5+) ,Back-End Developer,3
C#;Groovy;Java;JavaScript,Spring Boot,Ant;Gradle;Homebrew,Quarkus;Spring Framework,Back-End Developer,5
Java;SQL,Angular;AngularJS;Spring Boot,Ant;Maven (build tool);npm,Spring Framework,Data Or Business Analyst,5
Apex;HTML/CSS;Java;JavaScript;SQL,Angular,,,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;TypeScript,Deno;Django;Gatsby;Next.js;Node.js;React;WordPress,Docker;Homebrew;Terraform;Webpack;Yarn,,"Senior Executive (C-Suite, Vp, Etc.)",6
,,,,Full-Stack Developer,3
HTML/CSS;JavaScript;PowerShell;TypeScript,Next.js;Node.js;React,npm;Yarn,,Full-Stack Developer,3
Assembly;Bash/Shell (all shells);C;Delphi;HTML/CSS;Perl;PHP;SQL;VBA;Visual Basic (.Net),,,,Full-Stack Developer,3
Java,Spring Boot,Kubernetes;Maven (build tool),Spring Framework,Back-End Developer,5
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,FastAPI;Node.js;React,Docker;Make;npm;Pip,,Full-Stack Developer,3
C#;Java,ASP.NET;ASP.NET CORE;Spring Boot,Ant;Docker;Gradle;Maven (build tool);MSBuild;npm;NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8);Spring Framework,Back-End Developer,0
C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;Elm;Express;jQuery;Laravel;Node.js;Nuxt.js;React;Spring Boot;Symfony;Vue.js;WordPress,Ansible;Ant;APT;Cargo;Docker;Kubernetes;Make;Maven (build tool);MSBuild;npm;NuGet;Pip;pnpm;Terraform;Visual Studio Solution;Vite;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Apache Kafka;Cordova;Flutter;Ionic;RabbitMQ;Spring Framework;Xamarin,Research & Development Role,0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL,jQuery,Ansible;Docker;Homebrew;Kubernetes,Apache Kafka,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;Solidity;TypeScript,Angular;AngularJS;Express;FastAPI;Gatsby;jQuery;NestJS;Next.js;Node.js;React;Vue.js,Docker;Maven (build tool);npm;Visual Studio Solution;Yarn,React Native;TensorFlow,Mobile Developer,4
C#;Dart;JavaScript;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;jQuery;Node.js;React;Vue.js,Homebrew;Maven (build tool);MSBuild;npm;NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
JavaScript;Objective-C;Python;Swift,,Docker;Kubernetes;LLVM's Clang;Pip,NumPy;Pandas;Scikit-Learn;SwiftUI;Torch/PyTorch,Back-End Developer,3
C#;HTML/CSS;JavaScript;SQL;TypeScript,Angular;ASP.NET CORE;React,Kubernetes;npm;NuGet;Visual Studio Solution;Webpack;Yarn,.NET (5+) ,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,jQuery;Laravel;Ruby on Rails;Vue.js,Docker;Homebrew;Pip,,Full-Stack Developer,3
Bash/Shell (all shells);Python;Swift,,Homebrew;Pip,,Desktop Or Enterprise Applications Developer,1
,,,,Front-End Developer,2
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Node.js;React;Symfony,Composer;Docker;GNU GCC;npm,GTK,Back-End Developer,3
JavaScript;Python;SQL,,Homebrew;Pip;Terraform,NumPy;Pandas;Scikit-Learn,Data Scientist Or Machine Learning Specialist,6
MATLAB;Python,,,Keras;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Data Scientist Or Machine Learning Specialist,6
C#;JavaScript;Kotlin,ASP.NET;ASP.NET CORE,Docker;Gradle;MSBuild;NuGet,.NET (5+) ;Ktor,Back-End Developer,3
Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Rust;SQL;TypeScript,Angular;Express;NestJS;Next.js;Qwik;React,Docker;Homebrew;Make;npm;Podman;Terraform;Vite;Webpack,RabbitMQ;TensorFlow,Back-End Developer,3
C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL,,CMake;Docker;Pip;Terraform,NumPy;Opencv;Pandas;RabbitMQ;Scikit-Learn,Back-End Developer,3
Bash/Shell (all shells);C#;JavaScript;Python;TypeScript,Angular;AngularJS,Docker;Pip;QMake;Unity 3D,.NET (5+) ;.NET Framework (1.0 - 4.8);NumPy;Pandas;Qt,Full-Stack Developer,0
C#;SQL,ASP.NET;ASP.NET CORE;Blazor,NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Back-End Developer,0
Bash/Shell (all shells);Python;R;SQL,,,NumPy;Pandas;Scikit-Learn,Data Scientist Or Machine Learning Specialist,6
C;C#;C++;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python,Django;Flask;Vue.js,CMake;Docker;Google Test;Gradle;MSVC;npm;Unity 3D;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);OpenGL;Qt,Desktop Or Enterprise Applications Developer,1
C#;Java;JavaScript;MATLAB;SQL,jQuery,Kubernetes,,Full-Stack Developer,3
HTML/CSS;JavaScript;TypeScript,Angular;AngularJS;Express;Node.js,Docker;npm;Webpack,Capacitor;Cordova;Ionic,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,FastAPI;Node.js,Composer;Docker;Make;Pip;Webpack;Yarn,Apache Kafka;NumPy;Pandas;Scikit-Learn,Data Engineer,6
C++;Python,,CMake;LLVM's Clang;MSBuild;MSVC,GTK;OpenGL,Research & Development Role,6
Python;SQL,,Pip,Apache Spark;NumPy;Pandas,Data Scientist Or Machine Learning Specialist,6
